id	effectiveTime	active	moduleId	refsetId	referencedComponentId	sourceEffectiveTime	targetEffectiveTime
1244116f-fdb5-5645-afcc-5281288409da	20200309	1	900000000000207008	900000000000534007	900000000000012004	20200309	20200309
1244116f-fdb5-5645-afcc-5281288409da	20200731	1	900000000000207008	900000000000534007	900000000000012004	20200731	20200731
1244116f-fdb5-5645-afcc-5281288409da	20210131	1	900000000000207008	900000000000534007	900000000000012004	20210131	20210131
1244116f-fdb5-5645-afcc-5281288409da	20210731	1	900000000000207008	900000000000534007	900000000000012004	20210731	20210731
1244116f-fdb5-5645-afcc-5281288409da	20210930	1	900000000000207008	900000000000534007	900000000000012004	20210930	20210930
1244116f-fdb5-5645-afcc-5281288409da	20211031	1	900000000000207008	900000000000534007	900000000000012004	20211031	20211031
1244116f-fdb5-5645-afcc-5281288409da	20211130	1	900000000000207008	900000000000534007	900000000000012004	20211130	20211130
1244116f-fdb5-5645-afcc-5281288409da	20220131	1	900000000000207008	900000000000534007	900000000000012004	20220131	20220131
1244116f-fdb5-5645-afcc-5281288409da	20220228	1	900000000000207008	900000000000534007	900000000000012004	20220228	20220228
1244116f-fdb5-5645-afcc-5281288409da	20220331	1	900000000000207008	900000000000534007	900000000000012004	20220331	20220331
1244116f-fdb5-5645-afcc-5281288409da	20220430	1	900000000000207008	900000000000534007	900000000000012004	20220430	20220430
1244116f-fdb5-5645-afcc-5281288409da	20220531	1	900000000000207008	900000000000534007	900000000000012004	20220531	20220531
1244116f-fdb5-5645-afcc-5281288409da	20220630	1	900000000000207008	900000000000534007	900000000000012004	20220630	20220630
1244116f-fdb5-5645-afcc-5281288409da	20220731	1	900000000000207008	900000000000534007	900000000000012004	20220731	20220731
1244116f-fdb5-5645-afcc-5281288409da	20220831	1	900000000000207008	900000000000534007	900000000000012004	20220831	20220831
1244116f-fdb5-5645-afcc-5281288409da	20220930	1	900000000000207008	900000000000534007	900000000000012004	20220930	20220930
1244116f-fdb5-5645-afcc-5281288409da	20221031	1	900000000000207008	900000000000534007	900000000000012004	20221031	20221031
1244116f-fdb5-5645-afcc-5281288409da	20221130	1	900000000000207008	900000000000534007	900000000000012004	20221130	20221130
1244116f-fdb5-5645-afcc-5281288409da	20221231	1	900000000000207008	900000000000534007	900000000000012004	20221231	20221231
1244116f-fdb5-5645-afcc-5281288409da	20230131	1	900000000000207008	900000000000534007	900000000000012004	20230131	20230131
1244116f-fdb5-5645-afcc-5281288409da	20230228	1	900000000000207008	900000000000534007	900000000000012004	20230228	20230228
1244116f-fdb5-5645-afcc-5281288409da	20230331	1	900000000000207008	900000000000534007	900000000000012004	20230331	20230331
1244116f-fdb5-5645-afcc-5281288409da	20230430	1	900000000000207008	900000000000534007	900000000000012004	20230430	20230430
1244116f-fdb5-5645-afcc-5281288409da	20230531	1	900000000000207008	900000000000534007	900000000000012004	20230531	20230531
1244116f-fdb5-5645-afcc-5281288409da	20230630	1	900000000000207008	900000000000534007	900000000000012004	20230630	20230630
1244116f-fdb5-5645-afcc-5281288409da	20230731	1	900000000000207008	900000000000534007	900000000000012004	20230731	20230731
1244116f-fdb5-5645-afcc-5281288409da	20230901	1	900000000000207008	900000000000534007	900000000000012004	20230901	20230901
1244116f-fdb5-5645-afcc-5281288409da	20231001	1	900000000000207008	900000000000534007	900000000000012004	20231001	20231001
1244116f-fdb5-5645-afcc-5281288409da	20231101	1	900000000000207008	900000000000534007	900000000000012004	20231101	20231101
1244116f-fdb5-5645-afcc-5281288409da	20231201	1	900000000000207008	900000000000534007	900000000000012004	20231201	20231201
1244116f-fdb5-5645-afcc-5281288409da	20240101	1	900000000000207008	900000000000534007	900000000000012004	20240101	20240101
1244116f-fdb5-5645-afcc-5281288409da	20240201	1	900000000000207008	900000000000534007	900000000000012004	20240201	20240201
1244116f-fdb5-5645-afcc-5281288409da	20240301	1	900000000000207008	900000000000534007	900000000000012004	20240301	20240301
1244116f-fdb5-5645-afcc-5281288409da	20240401	1	900000000000207008	900000000000534007	900000000000012004	20240401	20240401
1244116f-fdb5-5645-afcc-5281288409da	20240501	1	900000000000207008	900000000000534007	900000000000012004	20240501	20240501
1244116f-fdb5-5645-afcc-5281288409da	20240601	1	900000000000207008	900000000000534007	900000000000012004	20240601	20240601
1244116f-fdb5-5645-afcc-5281288409da	20240701	1	900000000000207008	900000000000534007	900000000000012004	20240701	20240701
1244116f-fdb5-5645-afcc-5281288409da	20240801	1	900000000000207008	900000000000534007	900000000000012004	20240801	20240801
1244116f-fdb5-5645-afcc-5281288409da	20240901	1	900000000000207008	900000000000534007	900000000000012004	20240901	20240901
1244116f-fdb5-5645-afcc-5281288409da	20241001	1	900000000000207008	900000000000534007	900000000000012004	20241001	20241001
686fe392-d2f7-586d-98aa-078aba426832	20130731	1	449080006	900000000000534007	900000000000207008	20130731	20130731
686fe392-d2f7-586d-98aa-078aba426832	20140131	1	449080006	900000000000534007	900000000000207008	20140131	20140131
686fe392-d2f7-586d-98aa-078aba426832	20140731	1	449080006	900000000000534007	900000000000207008	20140731	20140731
686fe392-d2f7-586d-98aa-078aba426832	20150131	1	449080006	900000000000534007	900000000000207008	20150131	20150131
686fe392-d2f7-586d-98aa-078aba426832	20150731	1	449080006	900000000000534007	900000000000207008	20150731	20150731
686fe392-d2f7-586d-98aa-078aba426832	20160131	1	449080006	900000000000534007	900000000000207008	20160131	20160131
686fe392-d2f7-586d-98aa-078aba426832	20160731	1	449080006	900000000000534007	900000000000207008	20160731	20160731
686fe392-d2f7-586d-98aa-078aba426832	20170131	1	449080006	900000000000534007	900000000000207008	20170131	20170131
686fe392-d2f7-586d-98aa-078aba426832	20170731	1	449080006	900000000000534007	900000000000207008	20170731	20170731
686fe392-d2f7-586d-98aa-078aba426832	20180131	1	449080006	900000000000534007	900000000000207008	20180131	20180131
686fe392-d2f7-586d-98aa-078aba426832	20180731	1	449080006	900000000000534007	900000000000207008	20180731	20180731
686fe392-d2f7-586d-98aa-078aba426832	20190131	1	449080006	900000000000534007	900000000000207008	20190131	20190131
686fe392-d2f7-586d-98aa-078aba426832	20190731	1	449080006	900000000000534007	900000000000207008	20190731	20190731
686fe392-d2f7-586d-98aa-078aba426832	20200131	1	449080006	900000000000534007	900000000000207008	20200131	20200131
686fe392-d2f7-586d-98aa-078aba426832	20200309	1	449080006	900000000000534007	900000000000207008	20200309	20200309
686fe392-d2f7-586d-98aa-078aba426832	20200731	1	449080006	900000000000534007	900000000000207008	20200731	20200731
686fe392-d2f7-586d-98aa-078aba426832	20210131	1	449080006	900000000000534007	900000000000207008	20210131	20210131
686fe392-d2f7-586d-98aa-078aba426832	20210731	1	449080006	900000000000534007	900000000000207008	20210731	20210731
686fe392-d2f7-586d-98aa-078aba426832	20210930	1	449080006	900000000000534007	900000000000207008	20210930	20210930
686fe392-d2f7-586d-98aa-078aba426832	20211031	1	449080006	900000000000534007	900000000000207008	20211031	20211031
686fe392-d2f7-586d-98aa-078aba426832	20211130	1	449080006	900000000000534007	900000000000207008	20211130	20211130
686fe392-d2f7-586d-98aa-078aba426832	20220131	1	449080006	900000000000534007	900000000000207008	20220131	20220131
686fe392-d2f7-586d-98aa-078aba426832	20220228	1	449080006	900000000000534007	900000000000207008	20220228	20220228
686fe392-d2f7-586d-98aa-078aba426832	20220331	1	449080006	900000000000534007	900000000000207008	20220331	20220331
686fe392-d2f7-586d-98aa-078aba426832	20220430	1	449080006	900000000000534007	900000000000207008	20220430	20220430
686fe392-d2f7-586d-98aa-078aba426832	20220531	1	449080006	900000000000534007	900000000000207008	20220531	20220531
686fe392-d2f7-586d-98aa-078aba426832	20220630	1	449080006	900000000000534007	900000000000207008	20220630	20220630
686fe392-d2f7-586d-98aa-078aba426832	20220731	1	449080006	900000000000534007	900000000000207008	20220731	20220731
686fe392-d2f7-586d-98aa-078aba426832	20220831	1	449080006	900000000000534007	900000000000207008	20220831	20220831
686fe392-d2f7-586d-98aa-078aba426832	20220930	1	449080006	900000000000534007	900000000000207008	20220930	20220930
686fe392-d2f7-586d-98aa-078aba426832	20221031	1	449080006	900000000000534007	900000000000207008	20221031	20221031
686fe392-d2f7-586d-98aa-078aba426832	20221130	1	449080006	900000000000534007	900000000000207008	20221130	20221130
686fe392-d2f7-586d-98aa-078aba426832	20221231	1	449080006	900000000000534007	900000000000207008	20221231	20221231
686fe392-d2f7-586d-98aa-078aba426832	20230131	1	449080006	900000000000534007	900000000000207008	20230131	20230131
686fe392-d2f7-586d-98aa-078aba426832	20230228	1	449080006	900000000000534007	900000000000207008	20230228	20230228
686fe392-d2f7-586d-98aa-078aba426832	20230331	1	449080006	900000000000534007	900000000000207008	20230331	20230331
686fe392-d2f7-586d-98aa-078aba426832	20230430	1	449080006	900000000000534007	900000000000207008	20230430	20230430
686fe392-d2f7-586d-98aa-078aba426832	20230531	1	449080006	900000000000534007	900000000000207008	20230531	20230531
686fe392-d2f7-586d-98aa-078aba426832	20230630	1	449080006	900000000000534007	900000000000207008	20230630	20230630
686fe392-d2f7-586d-98aa-078aba426832	20230731	1	449080006	900000000000534007	900000000000207008	20230731	20230731
686fe392-d2f7-586d-98aa-078aba426832	20230901	1	449080006	900000000000534007	900000000000207008	20230901	20230901
686fe392-d2f7-586d-98aa-078aba426832	20231001	1	449080006	900000000000534007	900000000000207008	20231001	20231001
